comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,label
0.6246699,7.506381,6.84797,3.0516796,5.17638,0.0,8.232624,4.7261376,1020301_F.jpg
0.51886725,6.9291945,5.233487,4.0352907,5.912302,0.0,7.9425163,4.213335,1021048_B.jpg
0.5168094,6.6888037,5.0894856,4.0991488,5.7490735,0.0,8.124258,4.409502,1021048_F.jpg
4.7935452,12.262114,10.08514,4.322611,5.0066934,0.0,5.1445875,4.417608,1021220_B.jpg
4.6223927,12.275432,10.085644,4.1307063,4.9189653,0.0,4.9956923,4.5805554,1021220_F.jpg
0.51475924,4.8307605,4.2356415,3.264288,4.9165945,0.0,9.743803,3.9627032,1022033_B.jpg
0.49219647,5.807055,4.9106765,3.2547753,5.041656,0.0,9.337386,4.050151,1022033_F.jpg
1.4281735,7.0113544,6.419202,2.9578938,4.3375573,0.0,7.963826,4.454022,1022112_B.jpg
1.3958786,7.129897,6.5456324,2.8330355,4.3297296,0.0,7.8301315,4.4165115,1022112_F.jpg
0.5480689,5.110812,4.0470886,3.2226229,5.2444134,0.0,9.327265,3.8660526,1022180_B.jpg
0.5478991,5.202963,4.1923122,3.2373946,5.2796383,0.0,9.145646,3.8331413,1022180_F.jpg
0.52999634,3.722992,3.040566,2.9050012,4.7080145,0.0,10.39019,3.9169621,1023011_B.jpg
0.5307876,3.7646754,3.0521204,2.941633,4.771145,0.0,10.492521,3.9680645,1023011_F.jpg
1.1425043,7.679983,5.85466,3.9464452,5.5549827,0.0,7.1714478,4.213929,1023047_B.jpg
1.0944346,7.760234,5.8532157,3.975103,5.5528316,0.0,7.2643557,4.2924404,1023047_F.jpg
2.1502695,10.122569,9.4492655,4.2930956,6.033164,0.0,5.814226,4.2689095,1023168_B.jpg
2.262713,10.147676,9.592949,3.8103328,6.059883,0.0,5.7422657,4.066831,1023168_F.jpg
1.0296955,9.044907,8.395305,3.9348106,5.4766946,0.0,6.2745695,4.051305,1023178_B.jpg
1.2120419,9.115866,8.424875,3.8884346,5.6587286,0.0,6.2042384,4.123163,1023178_F.jpg
0.76459426,7.075638,4.9117813,3.9533443,5.9677467,0.0,8.657677,4.1027775,1026095_B.jpg
0.69065344,7.070307,4.834196,4.024558,6.011267,0.0,8.752609,4.183508,1026095_F.jpg
0.5289641,4.919785,4.096716,3.0320601,5.063288,0.0,9.868635,4.158835,1026135_B.jpg
0.52486825,5.028009,4.1834707,3.0348146,5.0935907,0.0,9.842226,4.191945,1026135_F.jpg
0.5390831,7.2671967,6.070978,3.0998878,5.6984253,0.0,7.928159,4.326624,1026170_B.jpg
0.56339866,7.355637,5.9945517,3.1048841,5.58902,0.0,8.010378,4.3704047,1026170_F.jpg
0.55143946,7.009851,5.500059,4.263259,6.1322966,0.0,8.241932,4.2111664,1027073_B.jpg
0.54784346,7.0758066,5.5336,4.3603497,6.1765094,0.0,8.251846,4.228284,1027073_F.jpg
0.51514685,6.245755,5.0758305,3.7691069,5.6906047,0.0,8.0970545,3.953078,1027106_B.jpg
0.5361309,6.331473,5.2224264,3.6680202,5.571649,0.0,7.798351,3.9064107,1027106_F.jpg
0.7250454,7.4292364,6.724694,3.5721598,5.051918,0.0,7.8323946,4.195187,1027461_B.jpg
0.72945195,7.35505,6.631092,3.5298023,5.05877,0.0,7.594224,4.0229807,1027461_F.jpg
0.7430094,6.318804,4.505339,3.829762,5.5551777,0.0,7.9846945,3.8010602,1028238_B.jpg
0.7326723,6.34397,4.5215225,3.8653088,5.3974686,0.0,7.8877025,3.8519826,1028238_F.jpg
0.50781614,3.697583,3.028245,2.9371755,4.731003,0.0,10.507209,3.9665952,1028344_B.jpg
0.5084114,4.4438066,3.2933447,3.111854,4.987493,0.0,10.461589,4.20263,1028344_F.jpg
1.845958,10.037739,9.118093,3.8370614,6.6198874,0.0,6.1011515,5.0887995,1029066_B.jpg
1.9629855,10.122513,9.451164,3.816803,6.810064,0.0,6.030698,5.2048655,1029066_F.jpg
0.5068858,6.304493,4.5716395,4.0421267,5.897417,0.0,7.8700037,3.6868663,1029078_B.jpg
0.5417428,6.22733,4.57379,4.010165,5.945897,0.0,8.013911,3.717111,1029078_F.jpg
0.5299125,4.689432,3.651393,3.072803,5.0302315,0.0,9.405657,3.769357,1029143_B.jpg
0.539922,4.653104,3.6482396,3.0557082,4.9928837,0.0,9.3571,3.7513273,1029143_F.jpg
0.6935631,6.488309,5.6794224,3.5040097,4.9884295,0.0,7.9820056,3.7935789,1029329_B.jpg
